workLabel,publicationYear,authorLabel,authorCountryLabel
Господа Головлёвы,1880,Михаил Евграфович Салтыков-Щедрин,Российская империя
Власть трёх,1922,Ганс Доминик,Германия
Фонтаны рая,1979,Артур Чарльз Кларк,Великобритания
Завтрак для чемпионов,1973,Курт Воннегут,США
Жена путешественника во времени,2003,"Ниффенеггер, Одри",США
Паутинка,1918,Рюноскэ Акутагава,Япония
Вакханки,,Еврипид,Древние Афины
Герои вроде нас,1995,Томас Бруссиг,Германия
Ослепление,1936,"Канетти, Элиас",Болгария
"Золотой ключик, или Приключения Буратино",1936,Алексей Николаевич Толстой,Франция
"Золотой ключик, или Приключения Буратино",1936,Алексей Николаевич Толстой,СССР
Gauche the Cellist,,"Миядзава, Кэндзи",Япония
Ослепление,1936,"Канетти, Элиас",Великобритания
"Золотой ключик, или Приключения Буратино",1936,Алексей Николаевич Толстой,Российская республика
История войн,,Прокопий Кесарийский,Византия
Путешествие из Петербурга в Москву,1790,Александр Николаевич Радищев,Российская империя
Демократия — низвергнутый бог,2001,"Хоппе, Ханс-Херман",Германия
Гекуба,,Еврипид,Древние Афины
Бедная Лиза,1792,Николай Михайлович Карамзин,Российская империя
"Золотой ключик, или Приключения Буратино",1936,Алексей Николаевич Толстой,Российская империя
Исторический и критический словарь,,Пьер Бейль,Франция
"Клуб Дюма, или Тень Ришельё",1993,Артуро Перес-Реверте,Испания
Эстетическая теория,1970,Теодор Адорно,Германия
Свидание с Рамой,1973,Артур Чарльз Кларк,Шри-Ланка
Пеппи поселяется на вилле «Курица»,1945,Астрид Линдгрен,Швеция
120 дней Содома или Школа разврата,1904,Маркиз де Сад,Королевство Франция
Семья Тибо,1939,Роже Мартен дю Гар,Франция
Фонтаны рая,1979,Артур Чарльз Кларк,Шри-Ланка
"Жизнеописания наиболее знаменитых живописцев, ваятелей и зодчих",1550,Джорджо Вазари,Флорентийская республика
Эстетическая теория,1970,Теодор Адорно,США
Туман,1914,Мигель де Унамуно,Испания
Кракатит,1924,Карел Чапек,Чехословакия
Якоб-лжец,1969,"Бекер, Юрек",ГДР
Язык программирования Си,1978,Брайан Керниган,США
История бриттов,,Ненний,
Кракатит,1924,Карел Чапек,Австро-Венгрия
Негативная диалектика,1966,Теодор Адорно,Германия
Слуга двух господ,,Карло Гольдони,Венецианская республика
Слуга двух господ,,Карло Гольдони,Королевство Франция
Язык программирования Си,1978,Брайан Керниган,Канада
Как сияет,,Томас Бруссиг,Германия
Троянки,,Еврипид,Древние Афины
Негативная диалектика,1966,Теодор Адорно,США
Гроза,1860,Александр Николаевич Островский,Российская империя
Слуга двух господ,,Карло Гольдони,Первая Французская республика
История франков (Григорий Турский),574,Григорий Турский,
Свет Азии,1879,Эдвин Арнольд,Соединённое королевство Великобритании и Ирландии
Питер и Венди,1911,Джеймс Мэтью Барри,Великобритания
Ворота Расёмон,1915,Рюноскэ Акутагава,Япония
Вдали от обезумевшей толпы,1874,Томас Харди,Великобритания
Юг без признаков севера,1973,Чарльз Буковски,Германия
"Посмотри на себя, маленький человек!",,Вильгельм Райх,Австрия
Малина,1971,Ингеборг Бахман,Австрия
Тени в раю,1971,Эрих Мария Ремарк,Германия
Камень,,Осип Эмильевич Мандельштам,СССР
Юг без признаков севера,1973,Чарльз Буковски,США
Правдивая история,,Лукиан,
Камень,,Осип Эмильевич Мандельштам,Российская республика
"Посмотри на себя, маленький человек!",,Вильгельм Райх,США
"Посмотри на себя, маленький человек!",,Вильгельм Райх,Австро-Венгрия
Путешествие на край ночи,1932,Луи-Фердинан Селин,Франция
Тени в раю,1971,Эрих Мария Ремарк,США
Смерть Иоанна Грозного,1866,Алексей Константинович Толстой,Российская империя
Камень,,Осип Эмильевич Мандельштам,Российская империя
На всякого мудреца довольно простоты,1868,Александр Николаевич Островский,Российская империя
Камень,,Осип Эмильевич Мандельштам,РСФСР
"Осада, или Шахматы со смертью",2010,Артуро Перес-Реверте,Испания
Сага о Иёсте Берлинге,1891,Сельма Лагерлёф,Швеция
Создатель звёзд,1937,"Стэплдон, Уильям Олаф",Великобритания
Одиссея капитана Блада,1922,Рафаэль Сабатини,Великобритания
Горящие здания,1900,Константин Дмитриевич Бальмонт,Российская Советская Федеративная Социалистическая Республика
Эммануэль (роман),1967,Эммануэль Арсан,Таиланд
Эммануэль (роман),1967,Эммануэль Арсан,Франция
Дерсу Узала,1921,"Арсеньев, Владимир Клавдиевич",СССР
Дерсу Узала,1996,"Арсеньев, Владимир Клавдиевич",СССР
Жиль Блас,1715,"Лесаж, Ален Рене",Франция
Ветер в ивах,1908,Кеннет Грэм,Великобритания
Аэропорт,1968,Артур Хейли,Соединённое королевство Великобритании и Ирландии
Дерсу Узала,1921,"Арсеньев, Владимир Клавдиевич",Российская республика
Дерсу Узала,1996,"Арсеньев, Владимир Клавдиевич",Российская республика
Об Этне,1495,Пьетро Бембо,Венецианская республика
Бесконечная шутка,1996,Дэвид Фостер Уоллес,США
Чарака-самхита,,Чарака,Индия
Возвращённая молодость,,Михаил Михайлович Зощенко,СССР
Манхэттен,1925,Джон Дос Пассос,США
Рамачаритаманаса,1600,Тулсидас,
Дерсу Узала,1921,"Арсеньев, Владимир Клавдиевич",Российская империя
Дерсу Узала,1996,"Арсеньев, Владимир Клавдиевич",Российская империя
Шоколад,1999,"Харрис, Джоанн",Великобритания
Возвращённая молодость,,Михаил Михайлович Зощенко,Российская империя
Изобретение Мореля,1940,"Биой Касарес, Адольфо",Аргентина
Христос остановился в Эболи,1945,"Леви, Карло",Италия
Христос остановился в Эболи,1945,"Леви, Карло",Королевство Италия
Житие протопопа Аввакума,1672,Аввакум Петров,Русское царство
Житие протопопа Аввакума,1673,Аввакум Петров,Русское царство
"Лоретта, или Красная печать",,Альфред де Виньи,Франция
Оттепель,1954,Илья Григорьевич Эренбург,СССР
О бракосочетании Филологии и Меркурия,,Марциан Капелла,Западная Римская империя
Всем стоять на Занзибаре,1968,Джон Браннер,Великобритания
Соломенная шляпка,,"Лабиш, Эжен",Франция
Страсти по Лейбовицу,1959,"Миллер, Уолтер Майкл",США
Оттепель,1954,Илья Григорьевич Эренбург,Российская империя
Арлезианка,,Альфонс Доде,Франция
Кодзики,712,О-но Ясумаро,Япония
Психоз,1959,Роберт Блох,США
Юдифь (поэма Марко Марулича),1521,"Марулич, Марко",Венецианская республика
Тартарен из Тараскона,1872,Альфонс Доде,Франция
Диатессарон,,Татиан,Древний Рим
Гортус делициарум,,Геррада Ландсбергская,Священная Римская империя
Час Презрения,1995,Анджей Сапковский,Польша
Ребёнок Розмари,1967,Айра Левин,США
Чародей,1982,"Фэйст, Раймонд",США
От Диктатуры к Демократии,1994,"Шарп, Джин",США
Психоз 4.48,,"Кейн, Сара",Великобритания
Создатель звёзд,1937,"Стэплдон, Уильям Олаф",Соединённое королевство Великобритании и Ирландии
Одиссея капитана Блада,1922,Рафаэль Сабатини,Соединённое королевство Великобритании и Ирландии
Снежная королева,1980,Джоан Виндж,США
Дайте дорогу утятам,1941,"Макклоски, Роберт",США
Сахих аль-Бухари,,Мухаммад аль-Бухари,Аббасидский халифат
Векфильдский священник,1766,Оливер Голдсмит,Великобритания
Истинное слово,,Цельс,Древний Рим
Смерть волка (Виньи),,Альфред де Виньи,Франция
Бульварное кольцо,1972,"Модиано, Патрик",Франция
Гравитация,1973,"Мизнер, Чарльз",США
Джонатан Стрендж и мистер Норрелл,2004,"Кларк, Сюзанна",Великобритания
Котлован,1969,Андрей Платонович Платонов,СССР
Чужестранка,1991,Диана Гэблдон,США
Векфильдский священник,1766,Оливер Голдсмит,Ирландия
Аэропорт,1968,Артур Хейли,Великобритания
"Покайся, Арлекин! — сказал Тиктакщик",1965,Харлан Эллисон,США
Бен-Гур: история Христа,1880,"Уоллес, Лью",США
Котлован,1969,Андрей Платонович Платонов,Российская империя
Сатурналии (Макробий),,Амвросий Феодосий Макробий,Древний Рим
Дора Брюдер,1997,"Модиано, Патрик",Франция
Башня Ласточки,1997,Анджей Сапковский,Польша
Комната Джованни,1956,Джеймс Болдуин,США
Бегство Логана,1967,Джордж Клейтон Джонсон,США
Лёгкий способ бросить курить,1985,"Карр, Аллен",Великобритания
Смерть Артура,1485,"Мэлори, Томас",Королевство Англия
Аэропорт,1968,Артур Хейли,Канада
Корабельный холм,1972,Ричард Адамс,Великобритания
Щедрое дерево,1964,"Сильверстейн, Шел",США
Степфордские жёны,1972,Айра Левин,США
Площадь Диамант,1962,Мерсе Родореда,Испания
Балладына,,Юлиуш Словацкий,Польша
Бельканто (роман),2001,Энн Пэтчетт,США
Поединок,1905,Александр Иванович Куприн,СССР
Без семьи,1878,"Мало, Гектор",Франция
Вся королевская рать,1946,"Уоррен, Роберт Пенн",США
Векфильдский священник,1766,Оливер Голдсмит,Королевство Ирландия
Кысь,,Татьяна Никитична Толстая,СССР
Поединок,1905,Александр Иванович Куприн,Российская империя
Кысь,,Татьяна Никитична Толстая,Россия
Мир Нуль-А,1945,Альфред ван Вогт,США
Горящие здания,1900,Константин Дмитриевич Бальмонт,Франция
Валерия Максима изречений и дел достопамятных книг девять (Валерий Максим/Алексеев)/ДО,,Валерий Максим,Древний Рим
Китаб аль-Агани,,Абу-ль-Фарадж аль-Исфахани,
Тау Ноль,1970,Пол Уильям Андерсон,США
Горящие здания,1900,Константин Дмитриевич Бальмонт,Российская империя
Мир Нуль-А,1945,Альфред ван Вогт,Канада
Максимы,1664,Франсуа VI де Ларошфуко,Франция
Максимы,1665,Франсуа VI де Ларошфуко,Франция
Go the Fuck to Sleep,2011,Адам Мэнсбак,США
Аль-Мухтасар фи ахбар аль-башар,,Абу-ль-Фида,
Одиссея капитана Блада,1922,Рафаэль Сабатини,Италия
Одиссея капитана Блада,1922,Рафаэль Сабатини,Королевство Италия
Белая роза,1929,Б. Травен,Германия
Белая роза,1929,Б. Травен,Мексика
Невероятные приключения по ту сторону Туле,100,Антоний Диоген,Древний Рим
Пташка,1978,Уильям Уортон,США
Али и Нино,1937,"Чеменземинли, Юсиф Везир",Азербайджанская Демократическая Республика
Коралловый остров,1858,Роберт Баллантайн,Соединённое королевство Великобритании и Ирландии
Лорна Дун,1869,Ричард Додридж Блэкмор,Соединённое королевство Великобритании и Ирландии
Снег на кедрах,1994,Дэвид Гатерсон,США
Шейх (роман),1919,Эдит Мод Халл,Великобритания
Если я останусь,2009,Гейл Форман,США
Хроники любви,2005,"Краусс, Николь",США
Спотыкаясь о счастье,2006,"Гилберт, Дэниел",США
Открытие ведьм,2011,"Харкнесс, Дебора",США
Хитрости Локка Ламоры,2006,"Линч, Скотт",США
Житие Григория Хандзтели,,Георгий Мерчуле,
Цаньтунци,,Вэй Боян,Китай
Дни убывающего света,2011,Ойген Руге,ГДР
Вслед за Каччато,1978,"О'Брайен, Тим",США
"Светит, да не греет",1881,Николай Яковлевич Соловьёв,Российская империя
Атлантида,1919,Пьер Бенуа,Франция
Никогда в жизни!,2001,"Грохоля, Катажина",Польша
Меч в камне,1938,"Уайт, Теренс Хэнбери",Соединённое королевство Великобритании и Ирландии
Вечный Тук,1975,Натали Баббитт,США
Пилигрим,1999,"Финдли, Тимоти Ирвин Фредерик",Канада
Пентамерон,1634,Джамбаттиста Базиле,Неаполитанское королевство
Пентамерон,1636,Джамбаттиста Базиле,Неаполитанское королевство
Имя ветра,2007,Патрик Ротфусс,США
Карьера Никодима Дызмы,1932,"Доленга-Мостович, Тадеуш",Российская империя
Карьера Никодима Дызмы,1932,"Доленга-Мостович, Тадеуш",Польская Республика
Рагнардрапа,,Браги Боддасон,Исландия
Entartung,1892,Макс Нордау,Венгрия
Манфред,1817,"Пеллико, Сильвио",
Застеклённая витрина,,Майкл Кристофер,США
Книга об идолах,,Хишам аль-Калби,Аббасидский халифат
Приключения капитана Врунгеля,1937,Андрей Сергеевич Некрасов,СССР
Шулхан арух,1565,"Каро, Йосеф",Османская империя
Мениппова сатира,1594,Жан Пассера,Франция
Волчий зал,2009,"Мэнтел, Хилари",Великобритания
Джуманджи,1981,"Ван Оллсбург, Крис",США
Нашествие монголов,1939,Василий Григорьевич Ян,СССР
Уотсоны,,Кэтрин Хаббек,Соединённое королевство Великобритании и Ирландии
Риторика для Геренния,,Корнифиций,Древний Рим
Шейх (роман),1919,Эдит Мод Халл,Соединённое королевство Великобритании и Ирландии
Волшебное изголовье,,Шэнь Цзицзи,Империя Тан
Опрокинутый мир,1974,"Прист, Кристофер",Великобритания
Сокровища Сьерра-Мадре,1927,Б. Травен,Германия
Нашествие монголов,1939,Василий Григорьевич Ян,Российская империя
Бегом с ножницами,,Огюстен Берроуз,США
Последняя теорема Ферма,1997,Саймон Сингх,Великобритания
Сокровища Сьерра-Мадре,1927,Б. Травен,Мексика
Али и Нино,1937,"Чеменземинли, Юсиф Везир",СССР
Города и годы,1924,Константин Александрович Федин,СССР
Краледворская рукопись,,Вацлав Ганка,Австрийская империя
Трущобы,1890,"Азеведу, Алузиу",Бразилия
Зеленеют сирени,1931,Линн Риггз,США
Последний поворот на Бруклин,1964,Хьюберт Селби,США
Повесть о Петре и Февронии Муромских,1600,Ермолай-Еразм,Великое княжество Московское
Али и Нино,1937,"Чеменземинли, Юсиф Везир",Российская империя
Денискины рассказы,1959,Виктор Юзефович Драгунский,СССР
Города и годы,1924,Константин Александрович Федин,Российская империя
Метро 2033: Питер,2010,Шимун Врочек,Россия
Геворг Марзпетуни,1896,Мурацан,Российская империя
Денискины рассказы,1959,Виктор Юзефович Драгунский,США
Marie-Claire,1910,"Оду, Маргарита",Франция
Ирасема,1865,"Аленкар, Жозе Мартиниану де",Бразилия
Отлив (роман),1894,Ллойд Осборн,США
Слишком женатый таксист,,"Куни, Рэй",Великобритания
Телегония,,Евгаммон из Кирены,
Хадаик ас-сихр фи дакаик аш-шир,,Рашид ад-Дин Ватват,Государство Хорезмшахов
Дневник эфемерной жизни,974,Митицуна-но хаха,Япония
Бэньцао ганму,1578,Ли Шичжэнь,империя Мин
Бэньцао ганму,1596,Ли Шичжэнь,империя Мин
Прощание с Матёрой,1976,Валентин Григорьевич Распутин,СССР
Фрост против Никсона,,"Морган, Питер",Великобритания
Меч в камне,1938,"Уайт, Теренс Хэнбери",Великобритания
Оптимистическая трагедия,,Всеволод Витальевич Вишневский,СССР
Прощание с Матёрой,1976,Валентин Григорьевич Распутин,Россия
Huasipungo,1934,Хорхе Икаса Коронель,Эквадор
Только вперед,1994,Майкл Маршалл,Великобритания
Дневник крестокрада,1882,Раффи,Российская империя
Дневник крестокрада,1883,Раффи,Российская империя
Дневник крестокрада,1882,Раффи,Персидская империя
Дневник крестокрада,1883,Раффи,Персидская империя
Лесси,1940,Эрик Найт,Великобритания
Вавилон 17,1966,"Дилэни, Сэмюэль",США
Цветы в зеркале,,Ли Жучжэнь,империя Цин
Неофициальная история конфуцианцев,,У Цзинцзы,империя Цин
Экспедиция «Тяготение»,1953,Хол Клемент,США
Экспедиция «Тяготение»,1971,Хол Клемент,США
Горькая судьбина,1859,Алексей Феофилактович Писемский,Российская империя
Оптимистическая трагедия,,Всеволод Витальевич Вишневский,Российская империя
Лесси,1940,Эрик Найт,США
Пятая дисциплина,1990,"Сенге, Питер",США
Дни убывающего света,2011,Ойген Руге,Германия
Повесть о Петре и Февронии Муромских,1600,Ермолай-Еразм,Русское царство
Третья промышленная революция,2011,Джереми Рифкин,США
Бегство Логана,1967,Уильям Ф. Нолан,США
Бруклин,2009,"Тойбин, Колм",Ирландия
Мукаддима,1425,Ибн Хальдун,
На улице перед дверью,1947,Вольфганг Борхерт,Германия
Записки сумасшедшего (Лу Синь),1918,Лу Синь,Китайская Республика
Ат-Тафхим,,Аль-Бируни,Саманидское государство
Боливийский дневник,1968,Эрнесто Че Гевара,Куба
Боливийский дневник,1968,Эрнесто Че Гевара,Аргентина
Случайная смерть анархиста,1970,Дарио Фо,Италия
Эмилия Галотти,1772,Готхольд Эфраим Лессинг,Германия
Последние дни человечества,1922,Карл Краус,Австрия
Аптекарша,1994,"Нолль, Ингрид",Германия
De civilitate morum puerilium,1530,Эразм Роттердамский,Семнадцать провинций
Открытие небес,1992,Харри Мюлис,Королевство Нидерландов
На двух планетах,1897,Курд Лассвиц,Германия
Трены,1580,"Кохановский, Ян",Корона Королевства Польского
Вторая книга джунглей,1895,Редьярд Киплинг,Соединённое королевство Великобритании и Ирландии
Приключения пчёлки Майи,1912,"Бонзельс, Вальдемар",Германия
13½ жизней капитана по имени Синий Медведь,1999,"Мёрс, Вальтер",Германия
Жак-фаталист и его хозяин,1796,Дени Дидро,Франция
Вопль,,Аллен Гинзберг,США
Молодая гвардия,1946,Александр Александрович Фадеев,СССР
Молодая гвардия,1951,Александр Александрович Фадеев,СССР
"Система экономических противоречий, или Философия нищеты",1846,Пьер Жозеф Прудон,Франция
Молодая гвардия,1946,Александр Александрович Фадеев,Российская империя
Молодая гвардия,1951,Александр Александрович Фадеев,Российская империя
Римская история,1854,Теодор Моммзен,Германская империя
Мысли и воспоминания,1898,Отто фон Бисмарк,Германская империя
Мысли и воспоминания,1921,Отто фон Бисмарк,Германская империя
Римская история,1854,Теодор Моммзен,Дания
Язык программирования Си,1978,Деннис Ритчи,США
Жан-Кристоф,1904,Ромен Роллан,Франция
Записки сумасшедшего (Лу Синь),1918,Лу Синь,империя Цин
Господин из Сан-Франциско,1915,Иван Алексеевич Бунин,Франция
Пророк,1923,Джебран Халиль Джебран,Османская империя
Господин из Сан-Франциско,1915,Иван Алексеевич Бунин,Российская империя
Ат-Тафхим,,Аль-Бируни,Газневидское государство
Жак-фаталист и его хозяин,1796,Дени Дидро,Королевство Франция
Трены,1580,"Кохановский, Ян",Речь Посполитая
Римская история,1854,Теодор Моммзен,Королевство Пруссия
Мысли и воспоминания,1898,Отто фон Бисмарк,Королевство Пруссия
Мысли и воспоминания,1921,Отто фон Бисмарк,Королевство Пруссия
Космография,1544,"Мюнстер, Себастиан",Германия
Космография,1544,"Мюнстер, Себастиан",Швейцария
Таис,1890,Анатоль Франс,Франция
Когда я умирала,1930,Уильям Фолкнер,США
Вторая книга джунглей,1895,Редьярд Киплинг,Великобритания
Боги жаждут,,Анатоль Франс,Франция
Лэ Марии Французской,1150,Мария Французская,Франция
Искусство заключать сделки,1987,Дональд Трамп,США
Кошки Ултара,1920,Говард Филлипс Лавкрафт,США
"Кожа для барабана, или Севильское причастие",1995,Артуро Перес-Реверте,Испания
Сонеты к Орфею,1923,Райнер Мария Рильке,Германия
Сонеты к Орфею,1923,Райнер Мария Рильке,Австрия
Двери восприятия,1954,Олдос Хаксли,Великобритания
Мельница на Флоссе,1860,Джордж Элиот,Соединённое королевство Великобритании и Ирландии
Левая рука тьмы,1969,Урсула Крёбер Ле Гуин,США
Стеклянный ключ,1931,Дэшил Хэммет,США
Меньше чем ноль,1985,Брет Истон Эллис,США
История одного города,1870,Михаил Евграфович Салтыков-Щедрин,Российская империя
Записки Мальте Лауридса Бригге,1910,Райнер Мария Рильке,Германия
Записки Мальте Лауридса Бригге,1910,Райнер Мария Рильке,Австрия
Кордиан,1834,Юлиуш Словацкий,Польша
Чёрная тыква,1983,Дин Кунц,США
Остров мёртвых,1969,Роджер Желязны,США
Сонеты к Орфею,1923,Райнер Мария Рильке,Австро-Венгрия
Обыкновенная история,1847,Иван Александрович Гончаров,Российская империя
Джим Баттон и Тринадцать Лютых,1962,Михаэль Энде,Германия
Царь Фёдор Иоаннович,1868,Алексей Константинович Толстой,Российская империя
Евнух,,Публий Теренций Афр,Карфаген
Самая красивая женщина в городе,1983,Чарльз Буковски,Германия
Записки Мальте Лауридса Бригге,1910,Райнер Мария Рильке,Австро-Венгрия
Евнух,,Публий Теренций Афр,Древний Рим
Джейн из Ясных Холмов,1937,Люси Монтгомери,Канада
Берлинский блюз,2001,Свен Регенер,Германия
Самая красивая женщина в городе,1983,Чарльз Буковски,США
Эмили из Молодого Месяца. Искания,1927,Люси Монтгомери,Канада
Шутовской хоровод,1923,Олдос Хаксли,Великобритания
Бесцветный Цкуру Тадзаки и годы его странствий,2013,Харуки Мураками,Япония
Стойкий принц,1636,Педро Кальдерон де ла Барка,Испания
Почтамт,1971,Чарльз Буковски,Германия
Фактотум,1975,Чарльз Буковски,Германия
Слепец в Газе,1936,Олдос Хаксли,Великобритания
Голуби преисподней,1938,Роберт Ирвин Говард,США
Сломанный меч,1954,Пол Уильям Андерсон,США
Век разума,1794,Томас Пейн,Франция
Век разума,1795,Томас Пейн,Франция
Век разума,1807,Томас Пейн,Франция
аль-Кира’а хальфа-ль-имам,,Мухаммад аль-Бухари,Аббасидский халифат
Почтамт,1971,Чарльз Буковски,США
Иакова Я возлюбил,1980,"Патерсон, Кэтрин",США
Фактотум,1975,Чарльз Буковски,США
Это не шутка,1986,"Хеллер, Джозеф",США
Век разума,1794,Томас Пейн,США
Век разума,1795,Томас Пейн,США
Век разума,1807,Томас Пейн,США
За стеной сна,1919,Говард Филлипс Лавкрафт,США
Вчерашний мир,1943,Стефан Цвейг,Великобритания
Вчерашний мир,1943,Стефан Цвейг,Австро-Венгрия
"Прощай, Любимая",1940,"Чандлер, Рэймонд",США
Век разума,1794,Томас Пейн,Королевство Великобритания
Век разума,1795,Томас Пейн,Королевство Великобритания
Век разума,1807,Томас Пейн,Королевство Великобритания
Психология масс и фашизм,1933,Вильгельм Райх,Австрия
Рэнт: биография Бастера Кейси,2007,Чак Паланик,США
Психология масс и фашизм,1933,Вильгельм Райх,США
Не отпускай меня,2005,Кадзуо Исигуро,Великобритания
Психология масс и фашизм,1933,Вильгельм Райх,Австро-Венгрия
Имею скафандр — готов путешествовать,1958,Роберт Хайнлайн,США
Лавиния,2008,Урсула Крёбер Ле Гуин,США
Смоляное чучелко,1981,Тони Моррисон,США
ат-Тарих аль-кабир,,Мухаммад аль-Бухари,Аббасидский халифат
Не отпускай меня,2005,Кадзуо Исигуро,Япония
Век разума,1794,Томас Пейн,Королевство Франция
Век разума,1795,Томас Пейн,Королевство Франция
Век разума,1807,Томас Пейн,Королевство Франция
Девушка с Андросаruen,,Публий Теренций Афр,Карфаген
Бестолочь,1954,"Хайсмит, Патриция",США
О постройках,,Прокопий Кесарийский,Византия
Царь Бориc,1870,Алексей Константинович Толстой,Российская империя
Малафрена,1979,Урсула Крёбер Ле Гуин,США
Тайная история,,Прокопий Кесарийский,Византия
Девушка с Андросаruen,,Публий Теренций Афр,Древний Рим
Капитан Алатристе,1996,Артуро Перес-Реверте,Испания
Человек без лица,1953,Альфред Бестер,США
Зорро. Рождение легенды,2005,Исабель Альенде,Чили
Ключ от хижины Дяди Тома,1853,Гарриет Бичер-Стоу,США
Периодическая система,1975,Примо Леви,Италия
Периодическая система,1975,Примо Леви,Королевство Италия
Лавочка закрывается,1994,"Хеллер, Джозеф",США
Солнечная аллея,1999,Томас Бруссиг,Германия
Трактирщица,1753,Карло Гольдони,Венецианская республика
Трактирщица,1753,Карло Гольдони,Королевство Франция
Шах фон Вутенов,1882,Теодор Фонтане,Германская империя
Шах фон Вутенов,1883,Теодор Фонтане,Германская империя
Все мои сыновья,1947,Артур Миллер,США
Зорро. Рождение легенды,2005,Исабель Альенде,США
Трактирщица,1753,Карло Гольдони,Первая Французская республика
Голубой замок,1926,Люси Монтгомери,Канада
Вчерашний мир,1943,Стефан Цвейг,Соединённое королевство Великобритании и Ирландии
Служанки,1947,"Жене, Жан",Франция
Жених-призрак,,Вашингтон Ирвинг,США
Семья Малаволья,1881,Джованни Верга,Королевство Италия
Вариант Единорога,,Роджер Желязны,США
Крысы,1911,Герхарт Гауптман,Германская империя
Дорога,1907,Джек Лондон,США
Пешки Ноль-А,1948,Альфред ван Вогт,США
Затура,2002,"Ван Оллсбург, Крис",США
Матасабуро-ветер,1934,"Миядзава, Кэндзи",Япония
Зависть,1927,"Олеша, Юрий Карлович",Российская империя
Пол Клиффорд,1830,Эдвард Бульвер-Литтон,Соединённое королевство Великобритании и Ирландии
Подлинная жизнь Себастьяна Найта,1941,Владимир Владимирович Набоков,США
Подлинная жизнь Себастьяна Найта,1941,Владимир Владимирович Набоков,Российская империя
Последний человек,1826,Мэри Шелли,Соединённое королевство Великобритании и Ирландии
Люсьен Левен,1894,Стендаль,Франция
Пешки Ноль-А,1948,Альфред ван Вогт,Канада
Юность,1857,Лев Николаевич Толстой,Российская империя
"Авессалом, Авессалом!",1936,Уильям Фолкнер,США
Королева Марго,1845,Александр Дюма-отец,Франция
Смешные жеманницы,1659,Мольер,Королевство Франция
"Джек Ричер, или Личный интерес",2014,Ли Чайлд,Великобритания
Крейцерова соната,1889,Лев Николаевич Толстой,Российская империя
Финикиянки,,Еврипид,Древние Афины
"Джек Ричер, или Заставь меня",2015,Ли Чайлд,Великобритания
Геракл,,Еврипид,Древние Афины
"Джек Ричер, или В розыске",2012,Ли Чайлд,Великобритания
Дженни,1911,Сигрид Унсет,Норвегия
Революция отвергает своих детей,1955,Вольфганг Леонгард,Германия
Революция отвергает своих детей,1955,Вольфганг Леонгард,Австрия
Под сенью девушек в цвету,1919,Марсель Пруст,Франция
Земля,1931,Перл Бак,США
Похищенный,1886,Роберт Льюис Стивенсон,Соединённое королевство Великобритании и Ирландии
"Там, внутри",,Морис Метерлинк,Бельгия
Отрочество,1854,Лев Николаевич Толстой,Российская империя
Деревня,,Иван Алексеевич Бунин,Франция
Вафаят аль-аʿйан ва анба абна аз-заман,,Ибн Халликан,
Жизнеописание Жэнь,,Шэнь Цзицзи,Империя Тан
Учёные женщины,1672,Мольер,Королевство Франция
Политика и английский язык,1946,Джордж Оруэлл,Соединённое королевство Великобритании и Ирландии
Ифигения в Авлиде,,Еврипид,Древние Афины
Белая гвардия,1925,Михаил Афанасьевич Булгаков,СССР
Деревня,,Иван Алексеевич Бунин,Российская империя
Да здравствует фикус!,1936,Джордж Оруэлл,Соединённое королевство Великобритании и Ирландии
Дикая утка (пьеса),1884,Генрик Ибсен,Норвегия
Простодушный,,Вольтер,Франция
Роза для Эмили,1930,Уильям Фолкнер,США
Белая гвардия,1925,Михаил Афанасьевич Булгаков,Российская империя
Глаз Кота,1982,Роджер Желязны,США
"Джек Ричер, или Это стоит смерти",2010,Ли Чайлд,Великобритания
Тысяча осеней Якоба де Зута,2010,"Митчелл, Дэвид",Великобритания
Альраун,1911,Ганс Гейнц Эверс,Германский рейх
Метель,1856,Лев Николаевич Толстой,Российская империя
Двадцать шесть и одна,,Максим Горький,СССР
Западно-восточный диван,1819,Иоганн Вольфганг фон Гёте,Саксен-Веймар-Эйзенах
Ледяная дева,1861,Ханс Кристиан Андерсен,Датско-норвежская уния
Необычайные похождения Хулио Хуренито,1922,Илья Григорьевич Эренбург,СССР
Двадцать шесть и одна,,Максим Горький,Российская империя
Янко-музыкант,1879,Генрик Сенкевич,Российская империя
Белый пароход,1970,Чингиз Торекулович Айтматов,СССР
Янко-музыкант,1879,Генрик Сенкевич,Австро-Венгрия
Первые люди на Луне,1901,Герберт Уэллс,Великобритания
Барнеби Радж,1840,Чарльз Диккенс,Соединённое королевство Великобритании и Ирландии
Ледяная дева,1861,Ханс Кристиан Андерсен,Датское королевство
Необычайные похождения Хулио Хуренито,1922,Илья Григорьевич Эренбург,Российская империя
Красные моря под красными небесами,2007,"Линч, Скотт",США
Я — не серийный убийца,2009,"Уэллс, Дэн",США
Домби и сын,1848,Чарльз Диккенс,Соединённое королевство Великобритании и Ирландии
Импровизатор,1835,Ханс Кристиан Андерсен,Датско-норвежская уния
Волны,1931,Вирджиния Вулф,Великобритания
Приключения Гомера Прайса,,"Макклоски, Роберт",США
Похищенный,1886,Роберт Льюис Стивенсон,Великобритания
Последний человек,1826,Мэри Шелли,Королевство Великобритания
Гиперион,1989,Дэн Симмонс,США
Цикл оборотня,1983,Стивен Кинг,США
Импровизатор,1835,Ханс Кристиан Андерсен,Датское королевство
